colony,input_size,number_nest,output_nest1,output_nest2,output_nest3,output_nest4,output_nest5,output_nest6,output_nest7,output_nest8,output_nest9,output_nest10
Colony 1,1808,5,1284,244,160,71,49,0,0,0,0,0
Colony 2,1628,3,1150,326,152,0,0,0,0,0,0,0
Colony 3,1328,3,890,394,44,0,0,0,0,0,0,0
Colony 4,1037,4,305,276,243,213,0,0,0,0,0,0
Colony 5,999,7,206,198,186,133,117,94,65,0,0,0
Colony 6,791,5,257,252,121,103,58,0,0,0,0,0
Colony 7,789,3,492,160,137,0,0,0,0,0,0,0
Colony 8,780,7,234,177,92,90,69,62,56,0,0,0
Colony 9,720,4,497,127,49,47,0,0,0,0,0,0
Colony 10,577,4,293,138,77,69,0,0,0,0,0,0
Colony 11,549,4,181,151,115,102,0,0,0,0,0,0
Colony 12,531,4,218,177,91,45,0,0,0,0,0,0
Colony 13,495,5,152,112,90,81,60,0,0,0,0,0
Colony 14,452,3,197,167,88,0,0,0,0,0,0,0
Colony 15,294,3,153,79,62,0,0,0,0,0,0,0
Colony 16,291,3,158,85,48,0,0,0,0,0,0,0
Colony 17,290,3,148,112,30,0,0,0,0,0,0,0
Colony 18,278,4,102,78,56,42,0,0,0,0,0,0
Colony 19,252,2,180,72,0,0,0,0,0,0,0,0
