colony,input_size,number_nest,output_nest1,output_nest2,output_nest3,output_nest4,output_nest5,output_nest6,output_nest7
Colony 1,1808,5,1284,244,160,71,49,,
Colony 2,1628,3,1150,326,152,,,,
Colony 3,1328,3,890,394,44,,,,
Colony 4,1037,4,305,276,243,213,,,
Colony 5,999,7,206,198,186,133,117,94,65
Colony 6,791,5,257,252,121,103,58,,
Colony 7,789,3,492,160,137,,,,
Colony 8,780,7,234,177,92,90,69,62,56
Colony 9,720,4,497,127,49,47,,,
Colony 10,577,4,293,138,77,69,,,
Colony 11,549,4,181,151,115,102,,,
Colony 12,531,4,218,177,91,45,,,
Colony 13,495,5,152,112,90,81,60,,
Colony 14,452,3,197,167,88,,,,
Colony 15,294,3,153,79,62,,,,
Colony 16,291,3,158,85,48,,,,
Colony 17,290,3,148,112,30,,,,
Colony 18,278,4,102,78,56,42,,,
Colony 19,252,2,180,72,,,,,
