colony,input_size,amount,number_nest,output_nest1,output_nest2,output_nest3,output_nest4,output_nest5,output_nest6,output_nest7,output_nest8,output_nest9,output_nest10
 Colony  1 ,1808,1759,4,1284,244,160,71,0,0,0,0,0,0
 Colony  2 ,1628,478,2,326,152,0,0,0,0,0,0,0,0
 Colony  3 ,1328,934,2,890,44,0,0,0,0,0,0,0,0
 Colony  4 ,1037,794,3,305,276,213,0,0,0,0,0,0,0
 Colony  5 ,999,999,7,206,198,186,133,117,94,65,0,0,0
 Colony  6 ,791,534,4,252,121,103,58,0,0,0,0,0,0
 Colony  7 ,789,297,2,160,137,0,0,0,0,0,0,0,0
 Colony  8 ,780,546,6,177,92,90,69,62,56,0,0,0,0
 Colony  9 ,720,223,3,127,49,47,0,0,0,0,0,0,0
 Colony  10 ,577,284,3,138,77,69,0,0,0,0,0,0,0
 Colony  11 ,549,549,4,181,151,115,102,0,0,0,0,0,0
 Colony  12 ,531,354,3,218,91,45,0,0,0,0,0,0,0
 Colony  13 ,495,414,4,152,112,90,60,0,0,0,0,0,0
 Colony  14 ,452,452,3,197,167,88,0,0,0,0,0,0,0
 Colony  15 ,294,294,3,153,79,62,0,0,0,0,0,0,0
 Colony  16 ,291,206,2,158,48,0,0,0,0,0,0,0,0
 Colony  17 ,290,290,3,148,112,30,0,0,0,0,0,0,0
 Colony  18 ,278,278,4,102,78,56,42,0,0,0,0,0,0
 Colony  19 ,252,180,1,180,0,0,0,0,0,0,0,0,0
